Date;Date et heure de restitution;Gare;Code UIC;Nature d'objets;Type d'objets;Type d'enregistrement
2019-12-23T18:47:37+01:00;2020-01-02T12:47:43+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-19T20:53:25+01:00;2020-01-22T18:35:33+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Nécessaire, mallette de toilette, sac de maquillage;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-14T21:10:13+01:00;2020-02-15T17:20:41+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-07T11:15:13+01:00;2020-02-17T09:27:20+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-06T14:10:15+01:00;2020-02-08T17:27:28+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-06T13:44:16+01:00;2020-01-09T06:24:31+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-19T14:53:39+01:00;2020-01-23T18:45:01+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-11T19:10:20+01:00;2020-01-24T11:29:12+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-04T13:24:16+01:00;2020-03-08T19:23:39+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-02-02T14:05:11+01:00;2020-02-02T14:14:39+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-15T11:55:48+01:00;2020-02-15T13:51:56+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels;Objet trouvé
2020-01-30T12:43:29+01:00;2020-02-01T18:18:19+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-31T14:10:23+01:00;2020-02-07T15:26:20+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-01T20:38:44+01:00;2020-02-02T17:39:03+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-25T08:24:20+01:00;2020-01-30T12:07:39+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-25T08:12:43+01:00;2020-01-27T07:28:48+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-14T10:35:56+01:00;2020-02-14T11:41:39+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-09T12:25:38+01:00;2020-02-09T14:13:26+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sacoche pour ordinateur, photo, vidéo;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-08T19:03:44+01:00;2020-02-09T10:03:23+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Autres divers;Divers;Objet trouvé
2020-01-30T18:58:24+01:00;2020-02-24T17:57:33+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2018-09-18T10:22:56+02:00;2020-03-10T13:11:02+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Tablette tactile protégée (étui, housse);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-02-21T21:48:03+01:00;2020-02-22T18:31:54+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-22T13:21:15+01:00;2020-01-22T14:17:05+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Clés, porte-clés;Clés, porte-clés, badge magnétique;Objet trouvé
2019-10-17T10:29:43+02:00;2020-01-18T16:24:34+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Autres divers;Divers;Objet trouvé
2020-06-17T19:48:18+02:00;2020-07-10T17:20:21+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels;Objet trouvé
2020-02-05T12:58:17+01:00;2020-07-13T16:11:10+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-03-13T17:03:59+01:00;2020-03-13T19:01:06+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-19T21:55:41+01:00;2020-02-21T17:38:34+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-05-21T12:29:21+02:00;2020-05-26T16:19:48+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-27T22:03:36+02:00;2020-08-05T18:22:46+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac d'enseigne (plastique, papier, …);Bagagerie: sacs, valises, cartables;Objet trouvé
2020-08-07T20:37:54+02:00;2020-08-08T12:53:04+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-15T22:00:48+01:00;2020-02-21T13:32:43+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-03-07T14:19:07+01:00;2020-07-02T20:12:03+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-06-14T11:29:30+02:00;2020-07-03T08:11:01+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels;Objet trouvé
2020-07-22T20:53:44+02:00;2020-07-25T19:14:33+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-05-26T13:08:24+02:00;2020-05-30T11:05:13+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-22T12:02:14+02:00;2020-07-22T12:24:40+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-16T21:49:16+02:00;2020-07-18T13:31:13+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-16T12:05:45+02:00;2020-07-16T15:41:47+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-14T13:11:00+02:00;2020-07-16T17:23:24+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Clés, porte-clés;Clés, porte-clés, badge magnétique;Objet trouvé
2020-01-26T11:01:18+01:00;2020-07-23T10:49:33+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-03-07T14:10:18+01:00;2020-07-28T17:41:11+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels;Objet trouvé
2020-02-18T12:05:08+01:00;2020-02-19T14:30:26+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-06-10T08:25:33+02:00;2020-06-12T09:57:01+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-11T18:26:29+02:00;2020-07-20T16:18:02+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-01-11T09:21:43+01:00;2020-06-16T19:23:30+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable protégé (étui, coque,…);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-07-29T10:48:44+02:00;2020-07-30T19:45:09+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-08-13T19:17:58+02:00;2020-08-14T08:55:09+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac d'enseigne (plastique, papier, …);Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-22T14:09:24+02:00;2020-07-23T11:06:17+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-07-16T20:03:56+02:00;2020-07-16T21:27:57+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-27T12:27:20+02:00;2020-07-27T13:43:36+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-03-09T12:33:05+01:00;2020-03-09T19:01:10+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-03-13T19:31:12+01:00;2020-03-14T09:42:41+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-19T10:34:06+01:00;2020-03-07T09:45:52+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Carte d'identité, passeport, permis de conduire;Pièces d'identités et papiers personnels;Objet trouvé
2019-04-26T17:09:55+02:00;2020-03-10T13:13:11+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Ordinateur, ordinateur portable, notebook;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-09-03T18:25:48+02:00;2020-09-03T21:17:34+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-15T12:13:47+02:00;2020-09-15T12:17:53+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-20T12:17:59+02:00;2020-09-23T15:09:31+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-08-26T21:21:01+02:00;2020-08-28T09:02:32+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-08-27T21:34:53+02:00;2020-08-28T11:34:42+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-07-24T13:27:00+02:00;2020-07-24T18:14:12+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-08-02T20:58:51+02:00;2020-08-03T13:13:25+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-20T20:53:22+02:00;2020-10-22T17:10:37+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-22T12:10:40+02:00;2020-10-22T18:32:59+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-10-29T11:10:41+01:00;2020-10-30T09:07:30+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-09-04T17:40:26+02:00;2020-09-04T18:12:39+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-07T13:07:46+02:00;2020-09-07T13:37:53+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-02-23T10:26:45+01:00;2020-03-01T13:18:25+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-02-17T11:09:30+01:00;2020-02-21T11:01:44+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Clés, porte-clés;Clés, porte-clés, badge magnétique;Objet trouvé
2020-02-24T12:31:37+01:00;2020-02-29T17:12:00+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-07T11:34:50+02:00;2020-07-07T13:46:33+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable protégé (étui, coque,…);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-07-09T20:19:41+02:00;2020-07-09T20:50:46+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-14T10:29:20+02:00;2020-07-14T15:33:28+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-07-22T12:55:50+02:00;2020-07-23T09:42:59+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac d'enseigne (plastique, papier, …);Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-18T10:44:47+02:00;2020-07-31T13:31:39+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-16T10:24:37+02:00;2020-08-13T16:23:11+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-08-05T16:55:26+02:00;2020-08-15T17:53:27+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-12T12:38:49+02:00;2020-09-13T10:17:16+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-07-28T12:47:53+02:00;2020-08-07T10:25:14+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Chemise à rabat;Livres, articles de papéterie;Objet trouvé
2020-09-14T20:40:09+02:00;2020-09-15T09:55:19+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-23T18:38:10+02:00;2020-09-23T18:50:35+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-28T20:20:50+02:00;2020-09-30T15:09:18+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Manteau, veste, blazer, parka, blouson, cape;Vêtements, chaussures;Objet trouvé
2020-09-23T12:41:56+02:00;2020-10-02T11:28:16+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable protégé (étui, coque,…);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-10-02T22:02:12+02:00;2020-10-03T08:14:57+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-16T21:46:49+02:00;2020-10-19T10:44:53+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac d'enseigne (plastique, papier, …);Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-20T14:27:25+02:00;2020-10-27T11:12:16+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-10-21T21:41:14+02:00;2020-10-29T16:55:21+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Ordinateur, ordinateur portable, notebook;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-11-06T15:48:12+01:00;2020-11-06T16:23:13+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-23T19:40:45+01:00;2020-12-24T15:31:01+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-23T12:14:07+01:00;2020-12-24T09:52:49+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-29T14:51:47+01:00;2020-12-29T18:15:24+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-26T14:14:21+01:00;2020-12-30T20:39:10+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-08-29T11:35:18+02:00;2020-08-30T13:51:50+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-11-03T11:47:12+01:00;2020-11-24T13:56:23+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-14T08:02:03+01:00;2020-12-15T13:09:20+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable protégé (étui, coque,…);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-12-22T19:50:02+01:00;2020-12-24T19:18:10+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac d'enseigne (plastique, papier, …);Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-25T21:55:05+01:00;2020-12-26T07:18:16+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-12T19:14:28+02:00;2020-09-13T09:24:34+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-16T21:37:02+02:00;2020-09-17T08:44:56+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels;Objet trouvé
2020-10-17T12:07:29+02:00;2020-10-17T13:14:01+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-01T21:28:33+02:00;2020-10-05T18:28:54+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-13T20:54:53+02:00;2020-10-14T16:27:44+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-14T17:03:24+02:00;2020-10-15T07:39:59+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-05T17:27:55+01:00;2020-12-07T14:42:14+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-19T12:22:27+02:00;2020-10-30T20:21:41+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Lunettes;Optique;Objet trouvé
2020-10-16T22:21:02+02:00;2020-10-17T13:34:39+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-08-28T10:59:06+02:00;2020-08-28T19:33:59+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-16T21:22:09+01:00;2020-12-16T21:29:17+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-28T14:30:18+01:00;2020-11-03T14:20:35+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-21T18:19:28+01:00;2020-12-26T18:13:43+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac de voyage, sac de sport, sac à bandoulière;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-20T13:31:57+01:00;2020-12-25T19:05:37+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable protégé (étui, coque,…);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-12-30T19:37:03+01:00;2020-12-31T15:33:18+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Pièce d'identité personnelle et autre;Pièces d'identités et papiers personnels;Objet trouvé
2020-09-21T11:50:25+02:00;2020-09-21T12:53:29+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Nécessaire, mallette de toilette, sac de maquillage;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-09-23T12:32:55+02:00;2020-09-25T08:25:39+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-05T11:00:45+02:00;2020-10-06T17:12:28+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sacoche pour ordinateur, photo, vidéo;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-24T11:06:01+02:00;2020-10-24T11:14:29+02:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-27T10:46:01+01:00;2020-10-27T11:38:31+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à main;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-21T12:13:51+02:00;2020-10-26T16:47:41+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Diplôme, papiers personnels;Pièces d'identités et papiers personnels;Objet trouvé
2020-10-29T22:38:12+01:00;2020-10-30T10:31:04+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-10-30T15:31:52+01:00;2020-12-01T13:07:28+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Valise, sac sur roulettes;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-12-01T09:45:53+01:00;2020-12-04T13:48:29+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Porte-monnaie, portefeuille;Porte-monnaie / portefeuille, argent, titres;Objet trouvé
2020-10-25T21:10:35+01:00;2020-11-09T13:19:09+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Jeu électronique (console de jeux: Gameboy, PSP, DS, …);Articles d'enfants, de puériculture;Objet trouvé
2020-12-31T16:01:10+01:00;2020-12-31T16:12:16+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Téléphone portable protégé (étui, coque,…);Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-11-28T11:03:05+01:00;2020-11-30T09:33:19+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Sac à dos;Bagagerie: sacs, valises, cartables;Objet trouvé
2020-11-30T12:25:13+01:00;2020-11-30T16:21:45+01:00;Aéroport Charles de Gaulle 2 TGV;87271494;Clés, porte-clés;Clés, porte-clés, badge magnétique;Objet trouvé
2020-01-20T08:54:24+01:00;2020-01-22T09:34:16+01:00;Agen;87586008;Livre scolaire;Livres, articles de papéterie;Objet trouvé
2020-01-28T21:13:57+01:00;2020-01-29T14:37:42+01:00;Agen;87586008;Ordinateur, ordinateur portable, notebook;Appareils électroniques, informatiques, appareils photo;Objet trouvé
2020-02-13T20:30:18+01:00;2020-02-14T14:21:18+01:00;Agen;87586008;Carte d'abonnement;Pièces d'identités et papiers personnels;Objet trouvé
